Date,Site,Blend,Treatment,Control,Rep,Trap,Height,% responders in treatment,total
7-Sep-25,RBNR,blend_b,192,21,,uvled,midlevel,90.14084507,21
7-Sep-25,RBNR,blend_b,204,193,,uvled,midlevel,51.38539043,193
7-Sep-25,RBNR,blend_b,111,73,,uvled,midlevel,60.32608696,73
9-Sep-25,RBNR,blend_b,55,37,,uvled,midlevel,59.7826087,37
10-Sep-25,RBNR,blend_b,43,33,,uvled,midlevel,56.57894737,33
11-Sep-25,RBNR,blend_b,68,53,,uvled,midlevel,56.19834711,53
11-Sep-25,RBNR,blend_b,200,3,,uvled,midlevel,98.52216749,3
11-Sep-25,RBNR,blend_b,149,173,,uvled,midlevel,46.27329193,173
24-Sep-25,RBNR,blend_b,43,40,,uvled,midlevel,51.80722892,40
24-Sep-25,RBNR,blend_b,34,28,,uvled,midlevel,54.83870968,28
17-Sep-25,RBNR,blend_b,78,79,,uvled,midlevel,49.68152866,79
19-Sep-25,RBNR,blend_b,142,94,,uvled,midlevel,60.16949153,94
19-Sep-25,RBNR,blend_b,100,63,,uvled,midlevel,61.34969325,63
1-Oct-25,RBNR,blend_a,31,8,,uvled,midlevel,79.48717949,8
1-Oct-25,RBNR,blend_a,40,22,,uvled,midlevel,64.51612903,22
1-Oct-25,RBNR,blend_a,30,13,,uvled,midlevel,69.76744186,13
3-Oct-25,RBNR,blend_a,33,18,,uvled,midlevel,64.70588235,18
3-Oct-25,RBNR,blend_a,37,17,,uvled,midlevel,68.51851852,17
3-Oct-25,RBNR,blend_a,21,11,,uvled,midlevel,65.625,11
1-Oct-25,RBNR,blend_a,13,,,uvled,midlevel,100,0
2-Oct-25,RBNR,blend_a,,56,,uvled,midlevel,0,56
24-Sep-25,RBNR,blend_b,,,,uvled,midlevel,#DIV/0!,0
24-Sep-25,RBNR,blend_b,,15,,uvled,midlevel,0,15
24-Sep-25,RBNR,blend_b,,22,,uvled,midlevel,0,22
7-Oct-25,RBNR,blend_a,38,16,,uvled,midlevel,70.37037037,16
7-Oct-25,RBNR,blend_a,26,,,uvled,midlevel,100,0
7-Oct-25,RBNR,blend_a,33,18,,uvled,midlevel,64.70588235,1088